"Rank","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"96","","DeSean Jackson","TB","WR40","5","93","100","96.5","3.5","189.0","+93.0"
"97","","Courtland Sutton","DEN","WR41","10","78","118","98.0","20.0","182.0","+85.0"
"98","","Carson Wentz","PHI","QB12","9","92","107","99.5","7.5","70.0","-28.0"
"99","","Devante Parker","MIA","WR42","11","99","101","100.0","1.0","119.0","+20.0"
"100","","Russell Wilson","SEA","QB13","7","94","111","102.5","8.5","48.0","-52.0"
"101","","Larry Fitzgerald","ARI","WR43","9","98","108","103.0","5.0","42.0","-59.0"
"102","","Jalen Richard","OAK","RB37","7","90","117","103.5","13.5","330.0","+228.0"
"103","","Matthew Stafford","DET","QB14","6","91","116","103.5","12.5","91.0","-12.0"
"104","","Tyler Lockett","SEA","WR44","7","103","105","104.0","1.0","148.0","+44.0"
"105","","Philip Rivers","LAC","QB15","8","99","110","104.5","5.5","101.0","-4.0"
"106","","Peyton Barber","TB","RB38","5","102","109","105.5","3.5","97.0","-9.0"
"107","","Mitch Trubisky","CHI","QB16","5","97","115","106.0","9.0","176.0","+69.0"
"108","","Ito Smith","ATL","RB39","8","94","119","106.5","12.5","410.0","+302.0"
"109","","Duke Johnson","CLE","RB40","11","95","120","107.5","12.5","106.0","-3.0"
"110","","Evan Engram","NYG","TE10","9","96","120","108.0","12.0","66.0","-44.0"
"111","","Jordan Reed","WAS","TE11","4","106","110","108.0","2.0","88.0","-23.0"
"112","","Keke Coutee","HOU","WR45","10","95","122","108.5","13.5","322.0","+210.0"
"113","","Latavius Murray","MIN","RB41","10","104","113","108.5","4.5","130.0","+17.0"
"114","","Mohamed Sanu","ATL","WR46","8","109","111","110.0","1.0","151.0","+37.0"
"115","","Doug Martin","OAK","RB42","7","91","140","115.5","24.5","156.0","+41.0"
"116","","Andy Dalton","CIN","QB17","9","114","118","116.0","2.0","179.0","+63.0"
"117","","D.J. Moore","CAR","WR47","4","108","125","116.5","8.5","128.0","+11.0"
"118","","Taylor Gabriel","CHI","WR48","5","107","130","118.5","11.5","357.0","+239.0"
"119","","Baker Mayfield","CLE","QB18","11","117","121","119.0","2.0","236.0","+117.0"
"120","","Jared Cook","OAK","TE12","7","116","126","121.0","5.0","193.0","+73.0"
"121","","Dak Prescott","DAL","QB19","8","119","123","121.0","2.0","136.0","+15.0"
"122","","Eric Ebron","IND","TE13","9","114","134","124.0","10.0","167.0","+45.0"
"123","","Corey Clement","PHI","RB43","9","115","133","124.0","9.0","132.0","+9.0"
"124","","Tre'Quan Smith","NO","WR49","6","105","147","126.0","21.0","247.0","+123.0"
"125","","Derrick Henry","TEN","RB44","8","124","131","127.5","3.5","35.0","-90.0"
"126","","Kyle Rudolph","MIN","TE14","10","127","131","129.0","2.0","74.0","-52.0"
"127","","Chris Hogan","NE","WR50","11","126","134","130.0","4.0","55.0","-72.0"
"128","","Josh Adams","PHI","RB45","9","123","144","133.5","10.5","",""
"129","","Austin Hooper","ATL","TE15","8","122","147","134.5","12.5","210.0","+81.0"
"130","","Jordy Nelson","OAK","WR51","7","124","145","134.5","10.5","84.0","-46.0"
"131","","Marquise Goodwin","SF","WR52","11","128","141","134.5","6.5","64.0","-67.0"
"132","","Jamaal Williams","GB","RB46","7","132","137","134.5","2.5","67.0","-65.0"
